2020-01-26 12:27:31,274 | INFO  | PListStore:[/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/B1-S2/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-01-26 12:27:31,288 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb] | org.apache.activemq.broker.BrokerService | main
2020-01-26 12:27:31,469 | INFO  | Apache ActiveMQ 5.8.0 (B1-S2, ID:Abhijeets-MacBook-Pro.local-63882-1580021851338-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2020-01-26 12:27:31,481 | INFO  | Listening for connections at: tcp://localhost:61626?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-01-26 12:27:31,482 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2020-01-26 12:27:31,483 | INFO  | Apache ActiveMQ 5.8.0 (B1-S2, ID:Abhijeets-MacBook-Pro.local-63882-1580021851338-0:1) started | org.apache.activemq.broker.BrokerService | main
2020-01-26 12:27:31,483 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2020-01-26 12:27:31,867 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2020-01-26 12:27:31,959 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2020-01-26 12:27:32,001 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2020-01-26 12:27:49,421 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@66a3ffec: startup date [Sun Jan 26 12:27:49 IST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-01-26 12:27:49,966 | INFO  | PListStore:[/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/B1-S2/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-01-26 12:27:49,980 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb] | org.apache.activemq.broker.BrokerService | main
2020-01-26 12:27:49,988 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 12:27:59,989 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 12:28:09,994 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 12:28:20,000 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 12:28:47,251 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@66a3ffec: startup date [Sun Jan 26 12:28:47 IST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-01-26 12:28:47,768 | INFO  | PListStore:[/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/B1-S2/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-01-26 12:28:47,781 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb] | org.apache.activemq.broker.BrokerService | main
2020-01-26 12:28:47,789 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 12:28:57,795 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 12:28:59,997 | INFO  | Apache ActiveMQ 5.8.0 (B1-S2, ID:Abhijeets-MacBook-Pro.local-63882-1580021851338-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-16
2020-01-26 12:29:01,655 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | Thread-16
2020-01-26 12:29:01,660 | INFO  | PListStore:[/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/B1-S2/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-16
2020-01-26 12:29:01,660 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-16
2020-01-26 12:29:01,661 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-16
2020-01-26 12:29:01,661 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-16
